406 164 911 225 899 836 730 175 825 265 345 64 901 570 918 411 729 839 32 236 643 638 894 214  [1;32 558000 0.16017270160268 [0 
406 164 911 225 899 836 730 175 825 265 345 64 901 570 918 797 729 839 32 236 643 638 894 214  [1;32 687600 0.16101621214239 [0 
328 164 911 225 899 836 730 175 825 265 345 64 901 570 918 797 472 839 32 236 643 638 894 214  [1;32 758400 0.16183543919759 [0 
328 164 911 225 899 836 730 175 825 265 33 64 901 570 918 242 472 839 32 236 643 638 894 214  [1;32 993600 0.27468106131317 [0 
328 164 911 225 899 653 730 175 871 265 33 64 901 570 106 242 472 839 32 236 643 638 474 214  [1;32 1015200 0.29145965242385 [0 
328 164 911 225 899 653 730 175 871 265 33 64 901 570 106 242 472 839 32 236 643 638 474 214  [1;32 1016400 0.29310325379063 [0 
328 164 911 225 765 653 730 175 871 265 33 64 901 570 106 242 472 839 32 995 643 638 304 214  [1;32 1048800 0.29749179206957 [0 
328 164 911 225 765 653 730 175 107 265 33 654 901 570 106 242 472 839 32 995 643 638 304 658  [1;32 1123200 0.32777564271867 [0 
328 164 911 746 765 653 730 175 107 265 33 654 167 570 106 242 472 839 32 995 643 638 304 934  [1;32 1332000 0.33686027851406 [0 
328 164 911 368 765 653 730 175 107 265 33 654 167 570 106 776 472 839 32 453 643 638 304 934  [1;32 1339200 0.37318599300526 [0 
seed 57
328 164 911 368 765 653 730 175 107 265 33 654 167 570 106 776 472 839 32 453 643 638 304 934 
1000 999 
best 0.37318599300526
 [0 
